time,open,high,low,close,volume
2025-10-15 21:15:00+00:00,435.8,435.98,435.77,435.89,0
2025-10-15 21:16:00+00:00,435.98,436.01,435.79,436.01,0
2025-10-15 21:17:00+00:00,436.0,436.08,436.0,436.0,0
2025-10-15 21:18:00+00:00,436.0,436.08,436.0,436.08,0
2025-10-15 21:19:00+00:00,436.04,436.08,436.0,436.05,0
2025-10-15 21:20:00+00:00,436.05,436.08,436.0,436.02,0
2025-10-15 21:21:00+00:00,436.04,436.08,436.0,436.0,0
2025-10-15 21:22:00+00:00,436.08,436.08,436.0,436.0099,0
2025-10-15 21:23:00+00:00,436.0,436.08,436.0,436.0,0
2025-10-15 21:24:00+00:00,436.0,436.08,436.0,436.04,0
2025-10-15 21:25:00+00:00,436.0,436.0497,436.0,436.0001,0
2025-10-15 21:26:00+00:00,436.02,436.04,435.7,435.8999,0
2025-10-15 21:27:00+00:00,435.89,435.9,435.76,435.85,0
2025-10-15 21:28:00+00:00,435.85,435.925,435.85,435.925,0
2025-10-15 21:29:00+00:00,435.85,435.925,435.85,435.85,0
2025-10-15 21:30:00+00:00,435.8874,435.9,435.65,435.775,0
2025-10-15 21:31:00+00:00,435.81,435.81,435.6,435.7,0
2025-10-15 21:32:00+00:00,435.71,435.9,435.7,435.805,0
2025-10-15 21:33:00+00:00,435.71,436.02,435.71,436.02,0
2025-10-15 21:34:00+00:00,436.0378,436.04,436.0,436.02,0
2025-10-15 21:35:00+00:00,436.02,436.03,435.9,435.955,0
2025-10-15 21:36:00+00:00,435.93,436.0,435.6,435.7505,0
2025-10-15 21:37:00+00:00,435.83,435.91,435.71,435.83,0
2025-10-15 21:38:00+00:00,435.9,435.94,435.8,435.82,0
2025-10-15 21:39:00+00:00,435.7,436.05,435.7,435.975,0
2025-10-15 21:40:00+00:00,435.98,436.04,435.9,435.975,0
2025-10-15 21:41:00+00:00,436.0,436.0,435.9,435.9001,0
2025-10-15 21:42:00+00:00,435.92,435.95,435.9,435.945,0
2025-10-15 21:43:00+00:00,435.9,435.95,435.9,435.92,0
2025-10-15 21:44:00+00:00,435.925,435.925,435.65,435.65,0
2025-10-15 21:45:00+00:00,435.65,435.9,435.65,435.65,0
2025-10-15 21:46:00+00:00,435.7,435.9,435.6,435.6756,0
2025-10-15 21:47:00+00:00,435.6,435.92,435.6,435.7,0
2025-10-15 21:48:00+00:00,435.72,435.84,435.6,435.65,0
2025-10-15 21:49:00+00:00,435.61,435.67,435.6,435.6001,0
2025-10-15 21:50:00+00:00,435.63,435.7,435.6,435.7,0
2025-10-15 21:51:00+00:00,435.7,435.7,435.6,435.65,0
2025-10-15 21:52:00+00:00,435.65,435.78,435.62,435.7,0
2025-10-15 21:53:00+00:00,435.7,435.9,435.7,435.9,0
2025-10-15 21:54:00+00:00,435.95,436.0,435.8,436.0,0
2025-10-15 21:55:00+00:00,435.95,436.08,435.84,435.95,0
2025-10-15 21:56:00+00:00,435.98,436.0,435.7,436.0,0
2025-10-15 21:57:00+00:00,435.82,436.0,435.7,435.85,0
2025-10-15 21:58:00+00:00,435.85,435.9,435.7,435.75,0
2025-10-15 21:59:00+00:00,435.75,435.8,435.75,435.75,0
2025-10-15 22:00:00+00:00,435.78,435.879,435.7,435.76,0
2025-10-15 22:01:00+00:00,435.75,435.9988,435.72,435.85,0
2025-10-15 22:02:00+00:00,435.85,436.0,435.7012,436.0,0
2025-10-15 22:03:00+00:00,435.99,436.09,435.76,436.07,0
2025-10-15 22:04:00+00:00,435.99,436.15,435.73,435.96,0
2025-10-15 22:05:00+00:00,435.8,435.99,435.73,435.817,0
2025-10-15 22:06:00+00:00,435.76,435.9,435.711,435.86,0
2025-10-15 22:07:00+00:00,435.76,436.15,435.7,435.85,0
2025-10-15 22:08:00+00:00,436.0,436.13,435.7,436.07,0
2025-10-15 22:09:00+00:00,435.91,436.07,435.75,435.91,0
2025-10-15 22:10:00+00:00,435.91,435.97,435.77,435.7827,0
2025-10-15 22:11:00+00:00,436.0,436.0,435.78,435.89,0
2025-10-15 22:12:00+00:00,435.89,435.929,435.75,435.8,0
2025-10-15 22:13:00+00:00,435.8,436.0,435.8,436.0,0
2025-10-15 22:14:00+00:00,435.85,435.925,435.77,435.77,0
2025-10-15 22:15:00+00:00,435.835,436.15,435.77,435.94,0
2025-10-15 22:16:00+00:00,435.965,436.0,435.8,435.8,0
2025-10-15 22:17:00+00:00,435.77,435.9863,435.77,435.875,0
2025-10-15 22:18:00+00:00,435.7975,436.0,435.75,435.75,0
2025-10-15 22:19:00+00:00,435.7623,435.875,435.75,435.875,0
2025-10-15 22:20:00+00:00,435.8,435.88,435.75,435.75,0
2025-10-15 22:21:00+00:00,435.83,435.85,435.72,435.72,0
2025-10-15 22:22:00+00:00,435.72,435.8486,435.6,435.66,0
2025-10-15 22:23:00+00:00,435.6,435.8623,435.6,435.85,0
2025-10-15 22:24:00+00:00,435.82,435.88,435.8,435.84,0
2025-10-15 22:25:00+00:00,435.85,435.97,435.6,435.775,0
2025-10-15 22:26:00+00:00,435.9315,435.98,435.7,435.82,0
2025-10-15 22:27:00+00:00,435.72,435.94,435.7,435.81,0
2025-10-15 22:28:00+00:00,435.81,435.82,435.65,435.65,0
2025-10-15 22:29:00+00:00,435.65,435.78,435.6,435.685,0
2025-10-15 22:30:00+00:00,435.74,435.84,435.6,435.84,0
2025-10-15 22:31:00+00:00,435.6,435.84,435.6,435.72,0
2025-10-15 22:32:00+00:00,435.65,435.84,435.6,435.68,0
2025-10-15 22:33:00+00:00,435.8,435.84,435.7,435.73,0
2025-10-15 22:34:00+00:00,435.8,435.82,435.732,435.745,0
2025-10-15 22:35:00+00:00,435.67,435.81,435.67,435.79,0
2025-10-15 22:36:00+00:00,435.77,435.79,435.65,435.71,0
2025-10-15 22:37:00+00:00,435.65,435.71,435.6,435.6101,0
2025-10-15 22:38:00+00:00,435.66,435.71,435.6,435.6,0
2025-10-15 22:39:00+00:00,435.6,435.64,435.3,435.505,0
2025-10-15 22:40:00+00:00,435.5,435.505,435.3,435.35,0
2025-10-15 22:41:00+00:00,435.3,435.485,435.3,435.485,0
2025-10-15 22:42:00+00:00,435.48,435.65,435.32,435.4,0
2025-10-15 22:43:00+00:00,435.4,435.495,435.35,435.35,0
2025-10-15 22:44:00+00:00,435.435,435.4988,435.2,435.35,0
2025-10-15 22:45:00+00:00,435.425,435.6,435.12,435.1975,0
2025-10-15 22:46:00+00:00,435.1,435.35,435.1,435.3,0
2025-10-15 22:47:00+00:00,435.275,435.3835,435.1,435.25,0
2025-10-15 22:48:00+00:00,435.1013,435.25,435.1,435.2,0
2025-10-15 22:49:00+00:00,435.25,435.25,435.1267,435.185,0
2025-10-15 22:50:00+00:00,435.24,435.3,435.12,435.285,0
2025-10-15 22:51:00+00:00,435.15,435.45,435.15,435.45,0
2025-10-15 22:52:00+00:00,435.35,435.4488,435.25,435.35,0
2025-10-15 22:53:00+00:00,435.35,435.4,435.27,435.375,0
2025-10-15 22:54:00+00:00,435.375,435.45,435.3,435.37,0
2025-10-15 22:55:00+00:00,435.45,435.5,435.3,435.5,0
2025-10-15 22:56:00+00:00,435.49,435.5,435.3,435.425,0
2025-10-15 22:57:00+00:00,435.39,435.5,435.3548,435.45,0
2025-10-15 22:58:00+00:00,435.41,435.5,435.4,435.499,0
2025-10-15 22:59:00+00:00,435.4143,435.5,435.4,435.49,0
2025-10-15 23:00:00+00:00,435.5,435.59,435.45,435.49,0
2025-10-15 23:01:00+00:00,435.5188,435.59,435.45,435.58,0
2025-10-15 23:02:00+00:00,435.59,435.59,435.45,435.48,0
2025-10-15 23:03:00+00:00,435.47,435.55,435.4,435.46,0
2025-10-15 23:04:00+00:00,435.4,435.5107,435.4,435.435,0
2025-10-15 23:05:00+00:00,435.43,435.5,435.43,435.5,0
2025-10-15 23:06:00+00:00,435.49,435.55,435.44,435.55,0
2025-10-15 23:07:00+00:00,435.47,435.5,435.44,435.485,0
2025-10-15 23:08:00+00:00,435.485,435.5,435.445,435.5,0
2025-10-15 23:09:00+00:00,435.475,435.5,435.3,435.41,0
2025-10-15 23:10:00+00:00,435.5,435.5,435.2,435.3,0
2025-10-15 23:11:00+00:00,435.19,435.23,435.1,435.225,0
2025-10-15 23:12:00+00:00,435.235,435.34,435.1,435.17,0
2025-10-15 23:13:00+00:00,435.14,435.34,435.1,435.245,0
2025-10-15 23:14:00+00:00,435.21,435.24,435.15,435.225,0
2025-10-15 23:15:00+00:00,435.24,435.34,435.15,435.29,0
2025-10-15 23:16:00+00:00,435.15,435.3,435.15,435.2,0
2025-10-15 23:17:00+00:00,435.23,435.3,435.2,435.2,0
2025-10-15 23:18:00+00:00,435.2,435.3,435.11,435.15,0
2025-10-15 23:19:00+00:00,435.1,435.25,435.01,435.09,0
2025-10-15 23:20:00+00:00,435.16,435.16,435.02,435.02,0
2025-10-15 23:21:00+00:00,435.085,435.09,435.02,435.03,0
2025-10-15 23:22:00+00:00,435.075,435.15,435.02,435.14,0
2025-10-15 23:23:00+00:00,435.03,435.16,435.03,435.1594,0
2025-10-15 23:24:00+00:00,435.095,435.16,435.03,435.13,0
2025-10-15 23:25:00+00:00,435.15,435.18,434.95,435.075,0
2025-10-15 23:26:00+00:00,434.9,435.18,434.85,434.8945,0
2025-10-15 23:27:00+00:00,434.88,435.18,434.88,434.88,0
2025-10-15 23:28:00+00:00,434.875,434.9,434.8,434.8,0
2025-10-15 23:29:00+00:00,434.8027,434.8489,434.51,434.55,0
2025-10-15 23:30:00+00:00,434.7,434.8,434.55,434.6,0
2025-10-15 23:31:00+00:00,434.74,434.87,434.6,434.78,0
2025-10-15 23:32:00+00:00,434.85,434.85,434.62,434.62,0
2025-10-15 23:33:00+00:00,434.64,434.85,434.5,434.5,0
2025-10-15 23:34:00+00:00,434.57,434.75,434.5,434.625,0
2025-10-15 23:35:00+00:00,434.75,434.75,434.5,434.75,0
2025-10-15 23:36:00+00:00,434.6082,434.75,434.5012,434.5012,0
2025-10-15 23:37:00+00:00,434.625,434.75,434.5,434.71,0
2025-10-15 23:38:00+00:00,434.88,434.88,434.5,434.6,0
